,,Edad del esposo,,,,,,,,,,,,,,
Edad de la esposa,Total,Menos de 20,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60 y más,Ignorado,Año,Menos de 15,15-19,18-19
Jalapa,263,36,10,31,17,12,31,5,29,33,26,19,14,2021
Jutiapa,283,15,22,19,30,18,21,24,32,31,24,25,22,2021
Guatemala,2180,139,196,190,177,195,245,189,140,146,192,234,137,2014
El Progreso,109,9,12,11,9,5,6,7,4,14,5,9,18,2014
Sacatepéquez,122,10,11,11,6,12,18,6,13,11,6,9,9,2014
Chimaltenango,137,8,12,16,10,10,14,14,9,10,8,15,11,2014
Escuintla,273,17,25,31,24,34,19,15,20,23,29,15,21,2014
Santa Rosa,124,3,16,8,11,11,12,16,11,12,11,10,3,2014
Sololá,61,5,3,6,4,4,3,5,6,5,7,9,4,2014
Totonicapán,98,11,5,14,6,9,11,9,4,8,11,6,4,2014
Quetzaltenango,350,23,16,37,22,24,27,37,38,29,48,26,23,2014
Suchitepéquez,187,16,19,20,15,12,16,25,16,13,11,12,12,2014
Retalhuleu,152,16,11,17,10,11,8,20,16,12,6,16,9,2014
San Marcos,192,21,13,22,16,14,16,7,19,13,21,17,13,2014
Huehuetenango,164,7,12,23,11,12,16,17,10,19,12,12,13,2014
Quiché,158,11,8,18,10,15,20,9,15,13,21,8,10,2014
Baja Verapaz,101,11,10,8,6,12,6,7,8,10,5,13,5,2014
Alta Verapaz,139,14,6,19,9,18,10,17,11,9,12,7,7,2014
Petén,129,10,10,10,11,14,18,10,9,15,7,4,11,2014
Izabal,153,10,13,20,15,12,9,11,8,14,14,12,15,2014
Zacapa,151,9,16,18,17,12,10,17,15,8,11,6,12,2014
Chiquimula,147,15,11,16,9,21,22,12,8,2,12,9,10,2014
Jalapa,127,14,17,10,6,20,9,14,10,6,5,8,8,2014
Jutiapa,321,17,34,28,25,34,31,26,28,28,21,29,20,2014
Guatemala,2334,143,169,199,175,228,161,199,331,194,211,173,151,2015
El Progreso,99,4,2,7,8,9,13,9,5,9,11,10,12,2015
Sacatepequez,106,6,14,14,6,10,8,9,9,7,9,5,9,2015
Chimaltenango,124,9,6,5,10,8,16,9,15,11,10,16,9,2015
Escuintla,283,30,26,29,18,31,24,22,17,20,22,23,21,2015
Santa Rosa,176,18,13,15,13,12,11,19,13,12,15,18,17,2015
Solola,69,6,8,7,6,5,4,3,3,4,7,3,13,2015
Totonicapan,83,2,8,8,7,4,6,10,12,8,3,8,7,2015
Quetzaltenango,394,31,36,33,35,34,34,38,23,32,40,28,30,2015
Suchitepequez,151,4,15,9,14,15,18,11,12,9,12,18,14,2015
Retalhuleu,167,10,15,27,18,9,11,25,18,9,12,7,6,2015
San Marcos,209,12,15,16,11,20,25,8,16,25,25,16,20,2015
Huehuetenango,173,10,12,20,12,10,20,17,22,12,17,4,17,2015
Quiche,144,14,11,14,9,11,13,15,12,18,12,9,6,2015
Baja Verapaz,92,1,7,8,12,6,7,8,10,13,8,5,7,2015
Alta Verapaz,140,8,16,14,14,11,7,14,8,15,12,12,9,2015
Peten,165,12,20,11,11,10,15,16,13,22,8,16,11,2015
Izabal,153,12,13,18,16,10,10,14,13,12,16,9,10,2015
Zacapa,145,15,14,16,12,12,8,9,9,11,12,12,15,2015
Chiquimula,120,10,6,5,6,7,9,17,15,8,14,9,14,2015
Jalapa,127,10,8,5,11,9,13,16,14,7,7,10,17,2015
Jutiapa,272,22,20,28,19,20,27,31,28,15,27,20,15,2015
Guatemala,1412,177,251,207,94,37,34,21,52,63,112,209,155,2020
El Progreso,67,12,11,7,1,1,1,2,6,6,8,6,6,2020
Sacatepéquez,98,23,14,6,2,5,4,1,1,3,8,13,18,2020
Chimaltenango,127,18,11,13,2,3,3,0,2,5,20,22,28,2020
Escuintla,137,10,24,25,7,6,5,3,5,10,12,17,13,2020
Santa Rosa,160,14,23,9,2,1,2,1,3,8,44,31,22,2020
Sololá,42,3,15,5,2,3,4,0,0,1,2,5,2,2020
Totonicapán,73,9,10,11,4,6,1,1,1,4,6,16,4,2020
Quetzaltenango,442,57,73,46,17,13,13,13,9,21,43,52,85,2020
Suchitepéquez,153,16,17,13,5,7,3,7,2,8,28,22,25,2020
