DEPREG,MUPREG,MESREG,AÑOREG,DIAOCU,MESOCU,DEPOCU,MUPOCU,EDADHOM,EDADMUJ,PUEHOM,PUEMUJ,NACHOM,NACMUJ,ESCHOM,ESCMUJ,CIUOHOM,CIUOMUJ
16,1601,1,2014,9,9,16,1601,48,59,1,4,320,320,2,2,61,52
14,1409,8,2013,24,7,14,1401,23,18,1,1,320,320,2,2,61,52
9,0901,2,2014,5,11,9,0901,39,43,4,4,320,320,9,4,61,52
22,2205,4,2013,5,3,22,2205,46,40,4,4,320,320,4,4,61,52
20,2007,8,2013,16,5,20,2001,47,37,4,4,320,320,2,2,61,52
1,0101,10,2013,19,3,1,0101,56,56,4,4,320,320,2,4,61,44
22,2205,5,2013,22,4,22,2201,30,19,4,4,320,320,3,3,61,51
13,1312,2,2014,26,12,13,1312,999,999,9,9,320,320,9,9,61,51
1,0101,6,2013,21,1,1,0101,53,41,1,1,320,320,2,2,61,51
1,0116,7,2013,24,5,1,0101,39,35,4,4,320,320,2,2,61,51
12,1212,12,2013,22,8,12,1212,37,33,4,4,320,320,3,2,61,NEOG
1,0112,12,2013,15,10,1,0112,30,21,1,1,320,320,9,9,61,NEOG
13,1312,2,2014,19,7,13,1312,999,999,9,9,320,320,9,9,61,NEOG
11,1101,10,2013,11,9,11,1101,999,999,9,9,320,320,9,9,61,NEOG
13,1312,2,2013,15,1,13,1312,999,999,9,9,320,320,9,9,61,NEOG
13,1312,3,2013,1,2,13,1301,999,999,9,9,320,320,9,9,61,NEOG
13,1312,3,2013,4,2,13,1301,999,999,9,9,320,320,9,9,61,NEOG
13,1312,6,2013,27,2,13,1312,999,999,9,9,320,320,9,9,61,NEOG
13,1312,9,2013,5,6,13,1312,999,999,9,9,320,320,9,9,61,NEOG
13,1312,9,2013,10,5,13,1312,39,999,4,9,320,320,2,9,61,NEOG
13,1311,7,2013,15,5,13,1312,25,35,4,4,320,320,2,1,61,NEOG
15,1502,10,2013,16,8,15,1501,999,999,9,9,320,320,9,9,61,52
13,1302,1,2014,6,11,9,0917,50,48,4,4,320,320,2,2,61,52
12,1207,6,2013,15,2,12,1207,999,999,9,9,320,320,9,9,61,NEOG
13,1311,3,2013,29,1,13,1312,999,999,9,9,320,320,9,9,61,NEOG
13,1301,10,2013,15,8,13,1301,999,999,9,9,320,320,9,9,61,NEOG
17,1709,8,2013,28,6,17,1712,999,999,9,9,320,320,9,9,61,NEOG
